L1_2,bestld,note
c0,r0.6_seed9,r0.1_seed1
c1,r0.1_seed8,auto
c100,r0.2_seed0,auto
c1000,r0.4_seed2,r0.1_seed2
c1001,r0.3_seed5,r0.1_seed4
c1002,r0.1_seed4,auto
c1003,r0.4_seed7,r0.2_seed0
c101,r0.3_seed7,auto
c102,r0.3_seed7,auto
c103,r0.2_seed3,auto
c104,r0.1_seed0,auto
c105,r0.2_seed5,r1.2_seed8
c106,r0.7_seed1,auto
c107,r0.5_seed4,auto
c1100,r0.6_seed3,auto
c1101,r0.2_seed1,r2.0_seed1
c1102,r0.2_seed3,auto
c1103,r0.3_seed3,auto
c1104,r0.1_seed7,auto
c1105,r0.3_seed4,auto
c1106,r0.1_seed0,auto
c1107,r0.2_seed6,auto
c1108,r0.1_seed0,auto
c1200,r0.3_seed7,r0.8_seed3
c1201,r0.1_seed0,auto
c1202,r0.3_seed0,auto
c1203,r0.3_seed7,auto
c1300,r0.3_seed5,auto
c1301,r0.4_seed6,r0.8_seed6
c1302,r0.3_seed6,auto
c1303,r0.1_seed0,auto
c1304,r0.6_seed1,auto
c1305,r0.1_seed0,r0.7_seed7;noL4
c1306,r0.6_seed0,auto;noL4
c1307,r0.1_seed0,r0.5_seed3;noL4
c1308,r0.1_seed0,r0.5_seed2;noL4
c1309,r0.2_seed1,auto
c1310,r0.6_seed8,auto;noL4
c1311,r0.3_seed2,auto;noL4;dirty
c1312,r0.1_seed0,r0.6_seed9;noL4
c1313,r0.8_seed3,r0.6_seed7;noL4
c1314,r0.1_seed0,r0.7_seed2;noL4
c1315,r0.1_seed0,r0.5_seed5;noL4
c1316,r0.1_seed0,r0.6_seed5;noL4
c1317,r0.4_seed1,auto;noL4
c1318,r0.1_seed0,r0.7_seed9;noL4
c1319,r0.1_seed0,r0.7_seed8;noL4
c1320,r0.1_seed0,r0.7_seed1;noL4
c1400,r0.4_seed0,auto
c1401,r0.8_seed4,r0.3_seed7
c1402,r0.2_seed3,r0.1_seed7
c1403,r0.4_seed5,auto
c1404,r0.6_seed5,auto;noL4
c1405,r0.3_seed0,auto
c1406,r0.4_seed1,auto;noL4
c1407,r0.5_seed0,auto;noL4
c1408,r0.6_seed6,auto;noL4
c1409,r0.1_seed0,r0.7_seed8;noL4
c1410,r0.2_seed2,auto
c1411,r0.4_seed0,auto;noL4
c1412,r0.5_seed1,auto;noL4
c1413,r0.1_seed0,r0.6_seed3;noL4
c1414,r0.5_seed1,auto;noL4
c1415,r0.1_seed0,r0.9_seed9;noL4
c1416,r0.2_seed0,auto;noL4
c1417,r0.1_seed0,r0.7_seed9;noL4
c1418,r0.4_seed0,auto;noL4;dirty
c1419,r0.6_seed1,auto;noL4
c1420,r0.1_seed0,r0.6_seed3;noL4
c1421,r0.7_seed1,auto
c1422,r0.1_seed0,r1.7_seed0;noL4
c1500,r0.5_seed2,r0.3_seed6
c1501,r0.6_seed6,auto
c1502,r0.2_seed8,auto
c1503,r0.1_seed0,auto
c1504,r0.1_seed0,r0.7_seed2;noL4
c1505,r0.1_seed0,r0.6_seed4;noL4
c1506,r0.5_seed7,r0.3_seed0;noL4
c1507,r0.4_seed0,auto;noL4
c1508,r0.1_seed0,r0.7_seed8;noL4
c1509,r0.1_seed0,r0.6_seed4;noL4;dirty
c1510,r0.1_seed0,r0.6_seed5;noL4
c1511,r0.4_seed0,auto
c1512,r0.1_seed0,r0.7_seed6;noL4
c1513,r0.1_seed0,r0.6_seed4;noL4
c1600,r1.1_seed2,auto
c1601,r0.2_seed0,auto
c2,r0.3_seed4,auto
c200,r0.4_seed1,r0.1_seed6;L4;dirty
