L1_2_3,bestld,note
c32001,r0.3_seed0,auto;noL5
c32002,r0.3_seed3,auto;noL5
c32003,r0.8_seed7,auto;noL5;dirty
c32004,r0.3_seed1,r0.7_seed3;noL5
c4,r0.1_seed4,r0.7_seed6
c400,r0.4_seed1,r0.1_seed0;noL5
c40000,r0.1_seed6,r0.4_seed9
c40001,r0.4_seed3,r0.7_seed3;noL5
c40002,r0.5_seed5,r0.7_seed7;noL5
c40003,r0.6_seed5,auto;noL5
c40004,r0.6_seed6,r0.1_seed0;noL5
c40005,r0.4_seed5,r0.1_seed0;noL5
c40006,r1.0_seed9,r0.1_seed0;noL5
c40007,r0.7_seed4,r0.1_seed0;noL5
c40008,r0.8_seed5,r0.1_seed0;noL5
c401,r0.8_seed4,auto;noL5
c40100,r0.3_seed3,r0.6_seed9
c40101,r0.1_seed0,auto;noL5
c40102,r0.5_seed4,auto;noL5
c40103,r0.6_seed2,auto;noL5
c40104,r0.6_seed5,auto;noL5
c40105,r0.6_seed4,r0.1_seed0;noL5
c40106,r0.7_seed4,r0.1_seed0;noL5
c40107,r0.7_seed7,auto;noL5
c40108,r0.7_seed4,r0.1_seed0;noL5
c40109,r0.7_seed3,r0.1_seed0;noL5
c40110,r0.7_seed4,auto;noL5;dirty
c40111,r0.6_seed8,auto;noL5;dirty
c402,r0.4_seed3,auto;noL5
c40200,r0.6_seed9,auto;noL5
c40201,r0.3_seed0,r0.4_seed1;noL5
c40202,r0.6_seed4,r0.1_seed0;noL5
c40203,r0.7_seed8,auto;noL5
c40204,r0.5_seed9,auto;noL5
c40205,r0.5_seed0,r0.1_seed0;noL5
c40206,r0.6_seed0,r0.1_seed0;noL5
c40207,r0.5_seed5,r0.6_seed5;noL5
c40208,r0.5_seed9,auto;noL5;dirty
c40209,r0.7_seed9,r0.1_seed0;noL5
c40210,r0.7_seed5,r0.1_seed0;noL5
c40211,r0.7_seed3,r0.1_seed0;noL5
c40212,r0.6_seed7,auto;noL5
c40213,r0.3_seed0,auto;noL5
c40214,r0.6_seed7,auto;noL5
c40215,r0.7_seed9,r0.1_seed0;noL5
c40216,r0.3_seed0,auto;noL5;dirty
c40217,r0.3_seed0,auto;noL5
c40218,r0.7_seed8,auto;noL5
c40219,r0.6_seed4,r0.1_seed0;noL5
c40220,r0.7_seed8,auto;noL5
c40221,r0.7_seed4,r0.1_seed0;noL5
c40222,r0.7_seed9,auto;noL5;dirty
c40223,r0.5_seed8,auto;noL5
c40224,r0.6_seed3,r0.1_seed0;noL5
c40225,r0.5_seed6,auto;noL5
c40226,r0.5_seed1,auto;noL5
c40227,r0.6_seed8,r0.1_seed0;noL5
c40228,r0.7_seed6,r0.1_seed0;noL5
c40229,r0.6_seed3,r0.1_seed0;noL5
c40230,r0.6_seed5,auto;noL5
c403,r0.1_seed0,r0.2_seed0;noL5
c40300,r0.4_seed4,r0.5_seed5
c40301,r0.6_seed7,r0.8_seed0;noL5
c40302,r0.7_seed6,r0.1_seed0;noL5
c40303,r0.4_seed1,auto;noL5
c40304,r0.4_seed1,auto;noL5
c40305,r0.5_seed7,auto;noL5
c40306,r0.7_seed5,r0.1_seed0;noL5
c40307,r0.7_seed1,r0.1_seed0;noL5
c40308,r0.6_seed9,r0.1_seed0;noL5
c40309,r0.6_seed7,r0.1_seed0;noL5
c40310,r0.7_seed2,r0.1_seed0;noL5
