L1_2_3,bestld,note
c0,r0.6_seed6,r0.1_seed6
c1,r0.3_seed3,r0.1_seed6
c10,r0.4_seed0,r0.1_seed0
c100,r0.3_seed9,r0.2_seed1
c10000,r0.3_seed3,auto
c100000,r0.4_seed4,r0.2_seed4
c100001,r0.8_seed4,r0.2_seed5
c100002,r0.5_seed8,r0.3_seed2
c100003,r0.6_seed1,auto
c100004,r0.3_seed6,auto
c100005,r0.6_seed6,r0.5_seed9;noL5
c100006,r0.4_seed9,auto;noL5
c100007,r0.4_seed4,r0.2_seed4
c100008,r0.1_seed0,r0.6_seed1;noL5
c100009,r0.1_seed0,r0.6_seed9;noL5
c10001,r0.4_seed2,auto
c10002,r0.7_seed8,r0.2_seed1;noL5
c100100,r0.5_seed1,auto
c100101,r0.3_seed6,auto;noL5
c100102,r0.1_seed0,r0.4_seed5;noL5
c100103,r0.1_seed0,r0.4_seed2;noL5;dirty
c100104,r0.3_seed0,auto;noL5
c100200,r0.5_seed9,r0.2_seed7
c100201,r0.6_seed8,r0.3_seed0;noL5
c100300,r0.1_seed0,r0.5_seed7;noL5
c100301,r0.3_seed9,auto;noL5
c100302,r0.4_seed7,auto;noL5
c101,r0.6_seed3,r0.1_seed2;noL5
c10100,r0.2_seed2,auto
c10101,r0.2_seed5,auto
c10102,r0.4_seed0,r0.3_seed6
c102,r0.4_seed9,r0.1_seed0;noL5
c10200,r1.7_seed2,auto;noL5
c10201,r0.4_seed3,r0.3_seed0;noL5
c10202,r0.7_seed3,r0.3_seed8;noL5
c10203,r0.4_seed4,auto;noL5
c10204,r0.4_seed5,auto;noL5
c103,r0.4_seed4,auto;noL5
c10300,r0.3_seed3,auto
c10301,r1.1_seed2,r0.1_seed9;noL5
c10302,r0.1_seed0,auto;noL5
c10400,r0.9_seed8,r0.2_seed4;noL5
c10401,r1.1_seed8,auto;noL5
c10500,r1.0_seed7,r0.3_seed4;noL5
c10501,r1.6_seed4,auto;noL5
c10600,r0.4_seed3,auto;noL5
c10601,r0.4_seed4,auto;noL5
c10602,r0.4_seed9,auto;noL5
c10603,r0.1_seed0,r0.3_seed4;noL5
c10604,r0.6_seed6,auto;noL5
c10605,r0.3_seed0,auto;noL5
c10606,r0.3_seed0,auto;noL5
c10607,r0.1_seed0,r0.9_seed7;noL5
c10608,r0.7_seed4,auto;noL5
c10609,r0.2_seed0,auto;noL5
c10700,r0.6_seed5,r0.3_seed0;noL5
c10701,r0.4_seed9,auto;noL5
c10702,r0.1_seed0,r0.7_seed0;noL5
c11,r0.4_seed2,r0.1_seed4;noL5
c110000,r0.8_seed1,r0.1_seed2;noL5
c110001,r0.2_seed3,auto
c110002,r0.7_seed9,r0.2_seed0;noL5
c110003,r0.9_seed7,r0.4_seed7;noL5
c110004,r0.4_seed9,auto;noL5
c110005,r0.2_seed1,auto
c110006,r0.4_seed7,auto;noL5
c110007,r0.7_seed4,auto;noL5
c110008,r0.1_seed0,auto;noL5
c110009,r0.1_seed0,r0.5_seed8;noL5
c110010,r0.6_seed2,noL5
c110011,r0.5_seed6,auto;noL5
c110012,r0.3_seed4,auto;noL5
c110013,r0.5_seed8,auto;noL5
c110014,r0.1_seed0,r0.7_seed7;noL5
c110015,r0.1_seed0,r0.7_seed2;noL5
c110016,r0.1_seed0,r0.8_seed4;noL5
c110017,r0.7_seed4,r0.4_seed3;noL5
c110018,r0.4_seed2,auto;noL5
c110019,r0.7_seed1,auto;noL5
c110100,r0.7_seed5,r0.2_seed9
c110101,r0.1_seed0,r0.5_seed1;noL5
c110102,r0.4_seed4,r0.3_seed3
c110103,r0.3_seed2,r0.1_seed1;noL5
c110104,r0.4_seed1,auto;noL5
c110200,r0.3_seed3,auto
c110201,r0.2_seed3,auto;noL5
c110202,r0.1_seed0,r0.9_seed5;dirty
c110300,r0.6_seed1,r0.4_seed3;noL5
c110301,r0.1_seed0,r0.7_seed1;dirty
c110400,r0.7_seed2,r0.4_seed7;noL5
c110401,r0.4_seed3,auto;noL5
c110500,r0.7_seed2,r0.4_seed3;noL5
c110501,r0.1_seed0,r0.7_seed6
c110600,r0.2_seed0,auto;noL5
c110601,r0.2_seed0,auto;noL5
c110602,r0.1_seed0,r0.6_seed0;noL5
c110700,r0.1_seed0,r0.4_seed0;noL5
c110701,r0.1_seed0,r0.5_seed4;noL5
c110800,r0.4_seed4,r0.3_seed0;noL5
c110801,r0.6_seed1,auto;noL5
c12,r0.6_seed9,r0.1_seed0;noL5
c120000,r1.0_seed1,auto;noL5
c120001,r0.7_seed1,r0.2_seed2;noL5
c120002,r0.4_seed7,r0.2_seed1;noL5
c120003,r0.6_seed4,auto;noL5
c120004,r0.5_seed5,auto;noL5
c120005,r0.2_seed3,auto;noL5
c120100,r0.8_seed8,r0.1_seed7;noL5
c120101,r0.5_seed1,r0.2_seed4;noL5
c120200,r0.4_seed0,auto;noL5
c120201,r0.1_seed0,r0.6_seed0;dirty
c120300,r0.4_seed0,auto;noL5
c120301,r0.1_seed0,r0.4_seed2;dirty
c13,r0.4_seed4,r0.1_seed4
c130000,r0.7_seed6,r0.5_seed6;noL5
c130001,r0.1_seed0,r0.6_seed0;noL5
c130100,r0.7_seed2,r0.5_seed0;noL5
c130101,r0.1_seed0,r0.7_seed9;noL5
c130102,r0.1_seed0,r0.8_seed4;noL5
c130200,r0.4_seed9,auto;noL5
c130201,r0.1_seed0,r1.5_seed2;noL5
c130300,r0.5_seed3,r0.4_seed9;noL5
c130301,r0.1_seed0,r0.7_seed4;noL5
c130400,r0.1_seed0,r0.7_seed8;noL5
c130401,r0.5_seed0,auto;noL5
c130900,r0.6_seed6,r0.3_seed7;noL5
c130901,r0.1_seed0,r0.6_seed0;noL5
c130902,r0.3_seed0,auto;noL5
c14,r0.2_seed7,r0.1_seed3
c140000,r0.1_seed0,r0.5_seed5;noL5
c140001,r0.6_seed1,auto
c140100,r0.1_seed0,r0.7_seed1;noL5
c140101,r0.1_seed0,r1.8_seed0;noL5
c140102,r0.1_seed0,r1.4_seed1;noL5
c140103,r0.1_seed0,r1.1_seed0;noL5
c140104,r0.1_seed0,r1.7_seed1;noL5
c140105,r0.1_seed0,r1.8_seed4;noL5
c140106,r0.1_seed0,r1.5_seed7;noL5
c140107,r0.3_seed0,r0.7_seed6;noL5
