L1_2_3_4,bestld,note
c0,r0.2_seed0,r0.6_seed5
c1,r1.7_seed7,auto
c10,r0.3_seed3,auto
c100,r0.2_seed4,r0.5_seed2
c1000,r0.1_seed0,r0.7_seed2;dirty
c10000,r0.2_seed6,auto
c1000000,r0.3_seed6,r0.9_seed2
c10000000,r0.3_seed4,r0.7_seed2
c10000001,r0.3_seed7,r0.8_seed4
c10000002,r0.4_seed8,auto
c10000003,r0.3_seed9,auto
c1000001,r0.3_seed3,r0.8_seed2
c1000002,r0.2_seed3,r0.8_seed6
c1000003,r0.2_seed1,r0.6_seed4
c10000100,r0.3_seed7,auto
c10000101,r0.1_seed0,auto
c10000102,r0.5_seed3,auto
c10000103,r0.6_seed3,r0.1_seed0
c10000104,r0.6_seed0,r0.1_seed0
c10000105,r0.4_seed7,auto
c10000106,r0.6_seed9,auto
c10000107,r0.5_seed1,r0.1_seed0
c10000108,r0.8_seed9,r0.1_seed0
c10000109,r0.5_seed8,r0.1_seed0
c10000110,r0.3_seed5,auto
c10000111,r1.1_seed5,r0.1_seed0
c10000112,r0.6_seed3,r0.1_seed0
c10000113,r0.8_seed1,r0.1_seed0
c10000114,r0.9_seed1,r0.1_seed0
c10000115,r0.4_seed3,r0.1_seed0
c10000200,r0.3_seed1,r0.8_seed8
c10000201,r0.4_seed7,r0.6_seed1
c10000202,r0.3_seed2,auto
c10000203,r0.6_seed7,auto
c10000204,r0.9_seed1,r0.1_seed0
c10000300,r0.5_seed9,auto
c10000301,r0.3_seed4,auto
c10000302,r0.3_seed5,auto
c10000303,r0.6_seed2,auto
c10000304,r0.6_seed2,auto
c10000400,r0.3_seed2,auto
c10000401,r0.3_seed9,auto
c10000700,r0.3_seed7,auto
c10000701,r0.7_seed0,auto
c10000702,r0.6_seed3,auto
c10000703,r0.6_seed0,auto
c10001,r0.5_seed0,r0.1_seed0
c1000100,r0.4_seed8,auto
c1000101,r0.2_seed0,r0.5_seed6
c1000102,r1.2_seed7,auto
c1000103,r0.4_seed6,auto
c1000104,r0.7_seed3,r0.1_seed0
c10002,r0.7_seed8,r0.1_seed0
c1001,r0.5_seed4,auto;dirty
c10010000,r0.5_seed0,r0.1_seed0
c10010001,r0.3_seed1,auto
c10010002,r0.5_seed8,r0.1_seed0
c10010003,r0.3_seed0,auto
c1002,r0.2_seed2,r0.6_seed3
c10020000,r0.4_seed4,auto
c10020001,r0.3_seed3,auto
c10020002,r0.3_seed0,r0.5_seed2
c10020003,r0.3_seed1,auto
c10020004,r0.6_seed8,r0.5_seed4
c10020005,r0.3_seed4,auto
c1003,r0.5_seed7,r0.1_seed0
c1004,r0.2_seed0,auto
c1005,r0.4_seed0,auto
c1006,r0.4_seed7,auto
c1007,r0.3_seed1,auto
c1008,r0.3_seed2,auto;dirty
c1009,r0.1_seed7,r0.3_seed4
c101,r0.1_seed8,r0.4_seed9
c1010,r0.7_seed3,r0.1_seed0
c1010000,r0.3_seed9,r0.6_seed6
c1010001,r0.2_seed8,r0.8_seed1
c1010100,r0.3_seed7,r0.5_seed9
c1010101,r0.3_seed0,auto
