subclass,modality,sexrep,ncell,nreads,ratio
105 TMd-DMH Foxd2 Gaba,H3K9me3,FemaleA,1,863,863.0
070 LSX Prdm12 Slit2 Gaba,H3K27me3,MaleA,1,5571,5571.0
105 TMd-DMH Foxd2 Gaba,H3K27ac,FemaleB,1,4137,4137.0
143 MM-ant Foxb1 Glut,H3K4me1,MaleA,1,11779,11779.0
116 AVPV-MEPO-SFO Tbr1 Glut,H3K4me1,MaleA,1,2733,2733.0
140 PMd-LHA Foxb1 Glut,H3K27ac,FemaleA,1,7268,7268.0
109 LGv-ZI Otx2 Gaba,H3K9me3,MaleA,1,4337,4337.0
021 L4 RSP-ACA Glut,H3K27me3,FemaleA,1,808,808.0
044 OB Dopa-Gaba,H3K9me3,MaleB,1,1806,1806.0
138 PH Pitx2 Glut,H3K9me3,MaleA,1,15935,15935.0
105 TMd-DMH Foxd2 Gaba,H3K27me3,FemaleB,1,1933,1933.0
143 MM-ant Foxb1 Glut,H3K27me3,MaleB,1,4282,4282.0
070 LSX Prdm12 Slit2 Gaba,H3K4me1,MaleA,1,3841,3841.0
140 PMd-LHA Foxb1 Glut,H3K4me1,MaleA,1,6434,6434.0
044 OB Dopa-Gaba,H3K27ac,MaleA,1,1740,1740.0
140 PMd-LHA Foxb1 Glut,H3K9me3,MaleA,1,5251,5251.0
042 OB-out Frmd7 Gaba,H3K9me3,FemaleB,1,3255,3255.0
070 LSX Prdm12 Slit2 Gaba,H3K27ac,FemaleA,1,4383,4383.0
044 OB Dopa-Gaba,H3K27me3,FemaleB,1,1235,1235.0
070 LSX Prdm12 Slit2 Gaba,H3K9me3,FemaleB,1,3458,3458.0
070 LSX Prdm12 Slit2 Gaba,H3K9me3,MaleA,1,7952,7952.0
140 PMd-LHA Foxb1 Glut,H3K27ac,MaleB,1,5011,5011.0
070 LSX Prdm12 Slit2 Gaba,H3K27ac,FemaleB,1,3673,3673.0
021 L4 RSP-ACA Glut,H3K27me3,MaleA,1,2038,2038.0
105 TMd-DMH Foxd2 Gaba,H3K9me3,MaleA,1,3043,3043.0
044 OB Dopa-Gaba,H3K4me1,MaleA,1,633,633.0
143 MM-ant Foxb1 Glut,H3K27ac,MaleA,1,1672,1672.0
070 LSX Prdm12 Slit2 Gaba,H3K27ac,MaleA,1,2061,2061.0
213 SCsg Gabrr2 Gaba,H3K27ac,FemaleB,2,13192,6596.0
138 PH Pitx2 Glut,H3K27ac,MaleB,2,5422,2711.0
143 MM-ant Foxb1 Glut,H3K27me3,FemaleA,2,15864,7932.0
041 OB-in Frmd7 Gaba,H3K9me3,MaleA,2,10572,5286.0
140 PMd-LHA Foxb1 Glut,H3K9me3,FemaleB,2,15063,7531.5
140 PMd-LHA Foxb1 Glut,H3K27me3,MaleB,2,10926,5463.0
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K27ac,FemaleB,2,5566,2783.0
091 ARH-PVi Six6 Dopa-Gaba,H3K9me3,MaleA,2,12893,6446.5
191 PAG-MRN Rln3 Gaba,H3K27me3,FemaleB,2,7626,3813.0
143 MM-ant Foxb1 Glut,H3K27me3,MaleA,2,10984,5492.0
105 TMd-DMH Foxd2 Gaba,H3K27ac,MaleB,2,3138,1569.0
105 TMd-DMH Foxd2 Gaba,H3K9me3,FemaleB,2,8086,4043.0
042 OB-out Frmd7 Gaba,H3K27ac,FemaleA,2,6563,3281.5
044 OB Dopa-Gaba,H3K9me3,FemaleA,2,2370,1185.0
021 L4 RSP-ACA Glut,H3K4me1,FemaleA,2,1244,622.0
143 MM-ant Foxb1 Glut,H3K4me1,FemaleA,2,2663,1331.5
140 PMd-LHA Foxb1 Glut,H3K4me1,FemaleB,2,5995,2997.5
105 TMd-DMH Foxd2 Gaba,H3K27me3,MaleA,3,10163,3387.6667
143 MM-ant Foxb1 Glut,H3K4me1,MaleB,3,17974,5991.3335
143 MM-ant Foxb1 Glut,H3K4me1,FemaleB,3,17488,5829.3335
070 LSX Prdm12 Slit2 Gaba,H3K27me3,FemaleA,3,6082,2027.3334
268 CS-PRNr-DR En1 Sox2 Gaba,H3K27ac,FemaleB,3,5528,1842.6666
105 TMd-DMH Foxd2 Gaba,H3K27me3,FemaleA,3,12485,4161.6665
070 LSX Prdm12 Slit2 Gaba,H3K4me1,FemaleB,3,12002,4000.6667
013 COAp Grxcr2 Glut,H3K27ac,FemaleB,3,8833,2944.3333
138 PH Pitx2 Glut,H3K27ac,FemaleA,3,22517,7505.6665
191 PAG-MRN Rln3 Gaba,H3K4me1,FemaleA,3,14274,4758.0
105 TMd-DMH Foxd2 Gaba,H3K27me3,MaleB,3,12263,4087.6667
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K27ac,FemaleB,3,14323,4774.3335
109 LGv-ZI Otx2 Gaba,H3K27ac,FemaleB,3,7980,2660.0
191 PAG-MRN Rln3 Gaba,H3K4me1,MaleA,3,14717,4905.6665
