names,npeak,ncell,nreads
001_CLA_EPd_CTX_Car3_Glut-H3K27ac-MaleA,29818,84,306921
001_CLA_EPd_CTX_Car3_Glut-H3K27ac-MaleB,28930,75,150311
002_IT_EP_CLA_Glut-H3K27ac-MaleA,57544,151,555823
002_IT_EP_CLA_Glut-H3K27ac-MaleB,44769,99,226619
003_L5_6_IT_TPE_ENT_Glut-H3K27ac-MaleA,141529,747,3020943
003_L5_6_IT_TPE_ENT_Glut-H3K27ac-MaleB,180243,751,1980899
004_L6_IT_CTX_Glut-H3K27ac-MaleA,168685,842,2001690
004_L6_IT_CTX_Glut-H3K27ac-MaleB,182835,1109,2126207
005_L5_IT_CTX_Glut-H3K27ac-MaleA,68411,309,724096
005_L5_IT_CTX_Glut-H3K27ac-MaleB,78124,507,788674
006_L4_5_IT_CTX_Glut-H3K27ac-MaleA,256755,1433,5268401
006_L4_5_IT_CTX_Glut-H3K27ac-MaleB,293025,2070,5921658
007_L2_3_IT_CTX_Glut-H3K27ac-MaleA,133672,1003,2882998
007_L2_3_IT_CTX_Glut-H3K27ac-MaleB,181095,1914,3992326
008_L2_3_IT_ENT_Glut-H3K27ac-MaleA,307008,2749,12287478
008_L2_3_IT_ENT_Glut-H3K27ac-MaleB,307518,2665,9018381
009_L2_3_IT_PIR_ENTl_Glut-H3K27ac-MaleA,191849,940,4233249
009_L2_3_IT_PIR_ENTl_Glut-H3K27ac-MaleB,136824,858,2842764
010_IT_AON_TT_DP_Glut-H3K27ac-MaleA,137958,488,1553047
010_IT_AON_TT_DP_Glut-H3K27ac-MaleB,80251,348,968048
011_L2_IT_ENT_po_Glut-H3K27ac-MaleA,149142,507,3205969
011_L2_IT_ENT_po_Glut-H3K27ac-MaleB,168695,723,3651502
012_MEA_Slc17a7_Glut-H3K27ac-MaleA,51712,173,483590
012_MEA_Slc17a7_Glut-H3K27ac-MaleB,29390,134,303519
013_COAp_Grxcr2_Glut-H3K27ac-MaleA,19233,30,97474
013_COAp_Grxcr2_Glut-H3K27ac-MaleB,31146,16,44138
014_LA_BLA_BMA_PA_Glut-H3K27ac-MaleA,169939,853,3394654
014_LA_BLA_BMA_PA_Glut-H3K27ac-MaleB,131010,682,2729596
015_ENTmv_PA_COAp_Glut-H3K27ac-MaleA,83011,293,997801
015_ENTmv_PA_COAp_Glut-H3K27ac-MaleB,47943,209,510286
016_CA1_ProS_Glut-H3K27ac-MaleA,529388,9564,26346880
016_CA1_ProS_Glut-H3K27ac-MaleB,558493,11133,27169210
017_CA3_Glut-H3K27ac-MaleA,370180,4129,13413442
017_CA3_Glut-H3K27ac-MaleB,420783,5504,14795841
019_L2_3_IT_PPP_Glut-H3K27ac-MaleA,267249,1543,5493730
019_L2_3_IT_PPP_Glut-H3K27ac-MaleB,197991,1546,4129263
020_L2_3_IT_RSP_Glut-H3K27ac-MaleA,55757,264,613724
020_L2_3_IT_RSP_Glut-H3K27ac-MaleB,53783,354,588282
021_L4_RSP_ACA_Glut-H3K27ac-MaleA,0,0,0
021_L4_RSP_ACA_Glut-H3K27ac-MaleB,0,0,0
022_L5_ET_CTX_Glut-H3K27ac-MaleA,127643,730,2826557
022_L5_ET_CTX_Glut-H3K27ac-MaleB,143015,1325,3344686
023_SUB_ProS_Glut-H3K27ac-MaleA,206960,812,2336058
023_SUB_ProS_Glut-H3K27ac-MaleB,117104,506,1490524
025_CA2_FC_IG_Glut-H3K27ac-MaleA,158183,550,1732651
025_CA2_FC_IG_Glut-H3K27ac-MaleB,187057,1026,2174854
026_NLOT_Rho_Glut-H3K27ac-MaleA,54475,132,508532
026_NLOT_Rho_Glut-H3K27ac-MaleB,64658,125,585705
027_L6b_EPd_Glut-H3K27ac-MaleA,10629,20,54165
027_L6b_EPd_Glut-H3K27ac-MaleB,10757,16,54618
028_L6b_CT_ENT_Glut-H3K27ac-MaleA,310573,1819,6122801
028_L6b_CT_ENT_Glut-H3K27ac-MaleB,128733,1206,2659344
029_L6b_CTX_Glut-H3K27ac-MaleA,25047,59,141759
