,Gene,RTS,Priority
1,HOXD8,1,Y
2,EN2,0.859609446,Y
3,PAX2,0.855418877,Y
4,CNPY1,0.840887486,Y
5,MIR9-3HG,0.71398318,Y
6,TLX1NB,0.684786894,Y
7,ZIC4,0.67364961,Y
8,LMX1B,0.623159186,Y
9,HOXB13,0.614745286,Y
10,GATA4,0.604236231,Y
11,LINC01749,0.599434509,Y
12,HOXC10,0.575531337,Y
13,HOXB-AS3,0.56129201,Y
14,PAX5,0.528142383,Y
15,PAX7,0.525830475,Y
16,ONECUT3,0.498143368,Y
17,UNCX,0.487042768,Y
18,ZIC5,0.484687667,Y
19,SCRG1,0.480115925,Y
20,PDX1,0.478584106,Y
21,RBFOX3,0.473108905,Y
22,EN1,0.468961996,Y
23,GSX1,0.464408697,Y
24,CDH22,0.462962338,Y
25,LHX2,0.461481819,Y
26,FENDRR,0.453109474,Y
27,HMX1,0.443204158,Y
28,LBX1,0.437203728,Y
29,PAX6,0.433329008,Y
30,LINC00461,0.427356383,Y
31,SIM2,0.425540517,Y
32,NKX2-6,0.425129955,Y
33,SIX3,0.42360775,Y
34,DLX6,0.416105499,Y
35,HOXC-AS3,0.415743234,Y
36,DKFZp686K1684,0.415009016,Y
37,HOXA7,0.412022116,Y
38,SFTA3,0.407906514,Y
39,ALX4,0.407318952,Y
40,HOXB6,0.394693023,Y
41,EMX1,0.394681924,Y
42,TFAP2A,0.394321096,Y
43,NR2E1,0.390804829,Y
44,C1orf61,0.386070931,Y
45,TBX5,0.38593981,Y
46,MNX1,0.385872234,Y
47,C5orf66,0.382015797,Y
48,NTNG2,0.379976345,Y
49,DLX4,0.378567117,Y
50,SRCIN1,0.376283445,Y
51,SLC32A1,0.371849255,Y
52,CDX2,0.369479544,Y
53,CFAP65,0.3668506,Y
54,POM121L2,0.359534772,Y
55,MSX1,0.357413177,Y
56,BARHL2,0.356762441,Y
57,TBX15,0.354313582,Y
58,LINC00261,0.353902571,Y
59,MIR3663HG,0.349364521,Y
60,VAX1,0.348677036,Y
61,NKX2-5,0.347539337,Y
