L4,sp,sc
1-1-1-1,1184 MOL NN_4,327 Oligo NN
1-1-1-2,1184 MOL NN_4,327 Oligo NN
1-1-2-1,1184 MOL NN_4,327 Oligo NN
1-2-1-1,1184 MOL NN_4,327 Oligo NN
1-2-1-2,1184 MOL NN_4,327 Oligo NN
1-2-2-1,1184 MOL NN_4,327 Oligo NN
1-2-2-2,1184 MOL NN_4,327 Oligo NN
1-3-1-1,1184 MOL NN_4,327 Oligo NN
1-3-1-2,1184 MOL NN_4,327 Oligo NN
1-3-2-1,1184 MOL NN_4,327 Oligo NN
1-4-1-1,1184 MOL NN_4,327 Oligo NN
1-4-1-2,1184 MOL NN_4,327 Oligo NN
1-4-2-1,1184 MOL NN_4,327 Oligo NN
1-4-2-2,1184 MOL NN_4,327 Oligo NN
1-4-3-1,1184 MOL NN_4,327 Oligo NN
1-5-1-1,1183 MFOL NN_3,327 Oligo NN
1-5-1-2,1183 MFOL NN_3,327 Oligo NN
1-5-1-3,1183 MFOL NN_3,327 Oligo NN
1-5-1-4,1183 MFOL NN_3,327 Oligo NN
1-5-2-1,1183 MFOL NN_3,327 Oligo NN
1-5-2-2,1182 NFOL NN_2,327 Oligo NN
1-6-1-1,1184 MOL NN_4,327 Oligo NN
1-7-1-1,1184 MOL NN_4,327 Oligo NN
1-8-1-1,1184 MOL NN_4,327 Oligo NN
1-9-1-1,1184 MOL NN_4,327 Oligo NN
1-10-1-1,1184 MOL NN_4,327 Oligo NN
1-11-1-1,1184 MOL NN_4,327 Oligo NN
1-12-1-1,1184 MOL NN_4,327 Oligo NN
1-13-1-1,1184 MOL NN_4,327 Oligo NN
1-14-1-1,1184 MOL NN_4,327 Oligo NN
1-15-1-1,1184 MOL NN_4,327 Oligo NN
1-16-1-1,1184 MOL NN_4,327 Oligo NN
1-17-1-1,1184 MOL NN_4,327 Oligo NN
1-18-1-1,1184 MOL NN_4,327 Oligo NN
1-19-1-1,1184 MOL NN_4,327 Oligo NN
1-20-1-1,1184 MOL NN_4,327 Oligo NN
1-21-1-1,1184 MOL NN_4,327 Oligo NN
1-22-1-1,1184 MOL NN_4,327 Oligo NN
1-23-1-1,1184 MOL NN_4,327 Oligo NN
1-24-1-1,1184 MOL NN_4,327 Oligo NN
1-25-1-1,1184 MOL NN_4,327 Oligo NN
1-26-1-1,1184 MOL NN_4,327 Oligo NN
1-27-1-1,1184 MOL NN_4,327 Oligo NN
1-28-1-1,1184 MOL NN_4,327 Oligo NN
1-28-1-2,1194 Microglia NN_1,334 Microglia NN
1-28-1-3,1184 MOL NN_4,327 Oligo NN
1-28-2-1,1193 Endo NN_1,333 Endo NN
1-29-1-1,1184 MOL NN_4,327 Oligo NN
1-30-1-1,1184 MOL NN_4,327 Oligo NN
3-1-1-1,1163 Astro-TE NN_3,319 Astro-TE NN
3-1-1-2,1163 Astro-TE NN_3,319 Astro-TE NN
3-1-1-3,1163 Astro-TE NN_3,319 Astro-TE NN
3-1-1-4,1163 Astro-TE NN_3,319 Astro-TE NN
3-1-1-5,1163 Astro-TE NN_3,319 Astro-TE NN
3-1-2-1,1163 Astro-TE NN_3,319 Astro-TE NN
3-1-2-2,1163 Astro-TE NN_3,319 Astro-TE NN
3-2-1-1,1163 Astro-TE NN_3,319 Astro-TE NN
3-2-1-2,1166 Astro-OLF NN_1,320 Astro-OLF NN
3-2-2-1,1164 Astro-TE NN_4,319 Astro-TE NN
3-2-2-2,1165 Astro-TE NN_5,319 Astro-TE NN
3-2-3-1,1162 Astro-TE NN_2,319 Astro-TE NN
3-3-1-1,1161 Astro-TE NN_1,319 Astro-TE NN
3-3-1-2,1161 Astro-TE NN_1,319 Astro-TE NN
3-3-1-3,1161 Astro-TE NN_1,319 Astro-TE NN
3-3-2-1,1163 Astro-TE NN_3,319 Astro-TE NN
3-4-1-1,1163 Astro-TE NN_3,319 Astro-TE NN
3-5-1-1,1163 Astro-TE NN_3,319 Astro-TE NN
3-5-2-1,1161 Astro-TE NN_1,319 Astro-TE NN
6-1-1-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-1-1-2,1160 Astro-NT NN_2,318 Astro-NT NN
6-1-2-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-1-2-2,1160 Astro-NT NN_2,318 Astro-NT NN
6-1-2-3,1160 Astro-NT NN_2,318 Astro-NT NN
6-2-1-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-2-2-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-2-2-2,1160 Astro-NT NN_2,318 Astro-NT NN
6-2-3-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-2-3-2,1160 Astro-NT NN_2,318 Astro-NT NN
6-3-1-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-3-2-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-3-2-2,1160 Astro-NT NN_2,318 Astro-NT NN
6-3-3-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-3-3-2,1160 Astro-NT NN_2,318 Astro-NT NN
6-3-3-3,1160 Astro-NT NN_2,318 Astro-NT NN
6-4-1-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-4-2-1,1160 Astro-NT NN_2,318 Astro-NT NN
6-5-1-1,1159 Astro-NT NN_1,318 Astro-NT NN
6-5-1-2,1159 Astro-NT NN_1,318 Astro-NT NN
6-5-1-3,1159 Astro-NT NN_1,318 Astro-NT NN
6-5-1-4,1159 Astro-NT NN_1,318 Astro-NT NN
6-5-2-1,1169 Astroependymal NN_1,321 Astroependymal NN
6-5-2-2,1169 Astroependymal NN_1,321 Astroependymal NN
6-5-3-1,1171 Astroependymal NN_3,321 Astroependymal NN
6-5-4-1,1177 Hypendymal NN_1,324 Hypendymal NN
6-6-1-1,1175 Ependymal NN_1,323 Ependymal NN
6-6-1-2,1175 Ependymal NN_1,323 Ependymal NN
6-6-2-1,1175 Ependymal NN_1,323 Ependymal NN
6-6-2-2,1175 Ependymal NN_1,323 Ependymal NN
6-6-2-3,1175 Ependymal NN_1,323 Ependymal NN
6-6-3-1,1176 Ependymal NN_2,323 Ependymal NN
6-6-4-1,1175 Ependymal NN_1,323 Ependymal NN
6-7-1-1,1173 Tanycyte NN_2,322 Tanycyte NN
6-7-2-1,1173 Tanycyte NN_2,322 Tanycyte NN
6-7-3-1,1173 Tanycyte NN_2,322 Tanycyte NN
6-7-4-1,1172 Tanycyte NN_1,322 Tanycyte NN
6-7-5-1,1173 Tanycyte NN_2,322 Tanycyte NN
