PairedTagName,ATACName,DNAmethName,AllenIdName,all,H3K4me1,H3K9me3,H3K27ac,H3K27me3,ATAC,DNAMeth,HiC
001_CLA_EPd_CTX_Car3_Glut,001_CLA-EPd-CTX_Car3_Glut,001_CLA-EPd-CTX_Car3_Glut,001 CLA-EPd-CTX Car3 Glut,all-male646:412:234_female459:348:111,H3K4me1-male125:92:33_female105:79:26,H3K9me3-male158:129:29_female97:68:29,H3K27ac-male159:84:75_female105:96:9,H3K27me3-male204:107:97_female152:105:47,1,1,1
002_IT_EP_CLA_Glut,002_IT_EP-CLA_Glut,002_IT_EP-CLA_Glut,002 IT EP-CLA Glut,all-male1266:697:569_female1644:1285:359,H3K4me1-male248:121:127_female377:286:91,H3K9me3-male404:218:186_female454:344:110,H3K27ac-male250:151:99_female304:276:28,H3K27me3-male364:207:157_female509:379:130,1,1,1
003_L5_6_IT_TPE_ENT_Glut,003_L5-6_IT_TPE-ENT_Glut,003_L5_6_IT_TPE-ENT_Glut,003 L5/6 IT TPE-ENT Glut,all-male5656:2912:2744_female8075:6238:1837,H3K4me1-male946:386:560_female1875:1382:493,H3K9me3-male1419:800:619_female1777:1200:577,H3K27ac-male1498:747:751_female2019:1816:203,H3K27me3-male1793:979:814_female2404:1840:564,1,1,1
004_L6_IT_CTX_Glut,004_L6_IT_CTX_Glut,004_L6_IT_CTX_Glut,004 L6 IT CTX Glut,all-male10241:5126:5115_female6536:4988:1548,H3K4me1-male1153:465:688_female1209:744:465,H3K9me3-male1666:795:871_female1026:640:386,H3K27ac-male1951:842:1109_female1282:1157:125,H3K27me3-male5471:3024:2447_female3019:2447:572,1,1,1
005_L5_IT_CTX_Glut,005_L5_IT_CTX_Glut,005_L5_IT_CTX_Glut,005 L5 IT CTX Glut,all-male4111:2054:2057_female3133:2406:727,H3K4me1-male200:80:120_female404:218:186,H3K9me3-male503:295:208_female207:139:68,H3K27ac-male816:309:507_female672:607:65,H3K27me3-male2592:1370:1222_female1850:1442:408,1,1,1
006_L4_5_IT_CTX_Glut,006_L4-5_IT_CTX_Glut,006_L4_5_IT_CTX_Glut,006 L4/5 IT CTX Glut,all-male15908:8166:7742_female8947:7189:1758,H3K4me1-male827:360:467_female1231:677:554,H3K9me3-male1955:1135:820_female698:457:241,H3K27ac-male3503:1433:2070_female2137:1990:147,H3K27me3-male9623:5238:4385_female4881:4065:816,1,1,1
007_L2_3_IT_CTX_Glut,007_L2-3_IT_CTX_Glut,007_L2_3_IT_CTX_Glut,007 L2/3 IT CTX Glut,all-male14443:7192:7251_female11432:9392:2040,H3K4me1-male779:342:437_female1477:895:582,H3K9me3-male1598:950:648_female770:569:201,H3K27ac-male2917:1003:1914_female2756:2577:179,H3K27me3-male9149:4897:4252_female6429:5351:1078,1,1,1
008_L2_3_IT_ENT_Glut,008_L2-3_IT_ENT_Glut,008_L2_3_IT_ENT_Glut,008 L2/3 IT ENT Glut,all-male22186:12061:10125_female32054:24865:7189,H3K4me1-male3952:2066:1886_female7599:5628:1971,H3K9me3-male5851:3704:2147_female7870:5667:2203,H3K27ac-male5414:2749:2665_female7243:6529:714,H3K27me3-male6969:3542:3427_female9342:7041:2301,1,1,1
009_L2_3_IT_PIR_ENTl_Glut,009_L2-3_IT_PIR-ENTl_Glut,009_L2_3_IT_PIR-ENTl_Glut,009 L2/3 IT PIR-ENTl Glut,all-male23553:20074:3479_female9029:6791:2238,H3K4me1-male10285:9552:733_female2000:1376:624,H3K9me3-male9145:8334:811_female2095:1352:743,H3K27ac-male1798:940:858_female2107:1941:166,H3K27me3-male2325:1248:1077_female2827:2122:705,1,1,1
010_IT_AON_TT_DP_Glut,010_IT_AON-TT-DP_Glut,010_IT_AON-TT-DP_Glut,010 IT AON-TT-DP Glut,all-male5517:3103:2414_female2786:1650:1136,H3K4me1-male1556:854:702_female939:401:538,H3K9me3-male1570:692:878_female924:468:456,H3K27ac-male836:488:348_female336:294:42,H3K27me3-male1555:1069:486_female587:487:100,1,1,1
