CRE,gene,pearson,gCPM,ptsc
chr10:100030342-100030841,Kitl,0.127025120925886,93.0715502084657,001_CLA_EPd_CTX_Car3_Glut
chr10:101987239-101987738,Mgat4c,0.159106853612976,1713.46178176757,001_CLA_EPd_CTX_Car3_Glut
chr10:81298688-81299187,Pip5k1c,0.178052826933582,55.6247936792784,001_CLA_EPd_CTX_Car3_Glut
chr10:81407442-81407941,Pip5k1c,0.117671064812532,55.6247936792784,001_CLA_EPd_CTX_Car3_Glut
chr10:81597139-81597638,Pip5k1c,0.0831145112135309,55.6247936792784,001_CLA_EPd_CTX_Car3_Glut
chr10:86795182-86795681,Nt5dc3,0.101465005134791,89.4359427784475,001_CLA_EPd_CTX_Car3_Glut
chr11:51337503-51338002,Col23a1,0.163795805722472,89.7995035214494,001_CLA_EPd_CTX_Car3_Glut
chr11:77481204-77481703,Ankrd13b,0.108047202335463,46.5357751042329,001_CLA_EPd_CTX_Car3_Glut
chr13:10345513-10346012,Chrm3,0.0776868801406008,1875.60987314639,001_CLA_EPd_CTX_Car3_Glut
chr13:78095941-78096440,Nr2f1,0.0813278949143831,67.6222981983384,001_CLA_EPd_CTX_Car3_Glut
chr13:78179332-78179831,Nr2f1,0.0668662167634749,67.6222981983384,001_CLA_EPd_CTX_Car3_Glut
chr13:78209905-78210404,Nr2f1,0.180300655004398,67.6222981983384,001_CLA_EPd_CTX_Car3_Glut
chr13:78212149-78212648,Nr2f1,0.0984517756527492,67.6222981983384,001_CLA_EPd_CTX_Car3_Glut
chr14:111676962-111677461,Slitrk5,0.285415343920448,42.5366069312129,001_CLA_EPd_CTX_Car3_Glut
chr16:65094457-65094956,Htr1f,0.141622596875894,401.73462101701,001_CLA_EPd_CTX_Car3_Glut
chr17:51805870-51806369,Satb1,0.0892546707266486,94.1622324374712,001_CLA_EPd_CTX_Car3_Glut
chr17:51962768-51963267,Satb1,0.11194728412098,94.1622324374712,001_CLA_EPd_CTX_Car3_Glut
chr1:173365810-173366309,Cadm3,0.0668855592769533,123.97421336362,001_CLA_EPd_CTX_Car3_Glut
chr1:5382329-5382828,Oprk1,0.120772088976617,165.420138065828,001_CLA_EPd_CTX_Car3_Glut
chr1:56900847-56901346,Satb2,0.255959306167812,471.174722930358,001_CLA_EPd_CTX_Car3_Glut
chr1:56928702-56929201,9130024F11Rik,0.0716053255967446,89.0723820354457,001_CLA_EPd_CTX_Car3_Glut
chr1:56955684-56956183,9130024F11Rik,0.169046760447635,89.0723820354457,001_CLA_EPd_CTX_Car3_Glut
chr1:56969180-56969679,9130024F11Rik,0.26563546785307,89.0723820354457,001_CLA_EPd_CTX_Car3_Glut
chr1:56969699-56970198,Satb2,0.101148551530813,471.174722930358,001_CLA_EPd_CTX_Car3_Glut
chr1:5915307-5915806,Oprk1,0.0848582264902956,165.420138065828,001_CLA_EPd_CTX_Car3_Glut
chr1:5955757-5956256,Oprk1,0.140734454314649,165.420138065828,001_CLA_EPd_CTX_Car3_Glut
chr2:12290164-12290663,Itga8,0.0918032531745015,109.431783643548,001_CLA_EPd_CTX_Car3_Glut
chr2:153509150-153509649,Nol4l,0.0717905633269499,225.044099918126,001_CLA_EPd_CTX_Car3_Glut
chr2:57094254-57094753,BB557941,0.111020500933772,102.160568783511,001_CLA_EPd_CTX_Car3_Glut
chr2:57112233-57112732,Nr4a2,0.161962353698077,425.72963005513,001_CLA_EPd_CTX_Car3_Glut
chr2:57114752-57115251,BB557941,0.189851495417707,102.160568783511,001_CLA_EPd_CTX_Car3_Glut
chr2:57115744-57116243,BB557941,0.072232474469925,102.160568783511,001_CLA_EPd_CTX_Car3_Glut
chr2:57116666-57117165,Nr4a2,0.148730174180983,425.72963005513,001_CLA_EPd_CTX_Car3_Glut
chr3:36189191-36189690,Atp11b,0.100052502252326,269.76207130735,001_CLA_EPd_CTX_Car3_Glut
chr3:98427480-98427979,Zfp697,0.0786726653203332,94.525793180473,001_CLA_EPd_CTX_Car3_Glut
chr4:127174031-127174530,Dlgap3,0.123368927825767,186.870221902935,001_CLA_EPd_CTX_Car3_Glut
chr4:127174768-127175267,Dlgap3,0.170464095979464,186.870221902935,001_CLA_EPd_CTX_Car3_Glut
chr4:127178494-127178993,Dlgap3,0.181277781635582,186.870221902935,001_CLA_EPd_CTX_Car3_Glut
chr4:42941307-42941806,4930578G10Rik,0.137161257315597,405.370228447029,001_CLA_EPd_CTX_Car3_Glut
chr4:42946764-42947263,Phf24,0.0689802815639955,283.940940284421,001_CLA_EPd_CTX_Car3_Glut
chr5:135832714-135833213,Srrm3,0.0855707655184843,306.118145607532,001_CLA_EPd_CTX_Car3_Glut
chr5:136555675-136556174,Cux1,0.186921129849946,544.977553759727,001_CLA_EPd_CTX_Car3_Glut
chr5:47986088-47986587,Slit2,0.092862292607797,277.396846910388,001_CLA_EPd_CTX_Car3_Glut
chr6:105674354-105674853,Cntn4,0.323988315334307,1451.33448606326,001_CLA_EPd_CTX_Car3_Glut
chr7:45490948-45491447,Slc17a7,0.09223590665422,85.4367746054275,001_CLA_EPd_CTX_Car3_Glut
chr7:63345498-63345997,Chrna7,0.069673618058904,87.6181390634384,001_CLA_EPd_CTX_Car3_Glut
chr7:70361620-70362119,B130024G19Rik,0.123435889901455,183.598175215919,001_CLA_EPd_CTX_Car3_Glut
chr8:64147568-64148067,Tll1,0.0663997359228415,84.7096531194239,001_CLA_EPd_CTX_Car3_Glut
chr8:64148149-64148648,Tll1,0.104649772396949,84.7096531194239,001_CLA_EPd_CTX_Car3_Glut
chr8:64196767-64197266,Tll1,0.296917729810673,84.7096531194239,001_CLA_EPd_CTX_Car3_Glut
chr8:85373829-85374328,Neto2,0.069817453008193,265.035781648326,001_CLA_EPd_CTX_Car3_Glut
chr9:4639142-4639641,Gria4,0.124710776223272,2699.43851678851,001_CLA_EPd_CTX_Car3_Glut
chr9:4762384-4762883,Gria4,0.131958903240133,2699.43851678851,001_CLA_EPd_CTX_Car3_Glut
chr9:63779831-63780330,Smad3,0.134804288050304,125.792017078629,001_CLA_EPd_CTX_Car3_Glut
chr9:64226558-64227057,Smad3,0.1582157508327,125.792017078629,001_CLA_EPd_CTX_Car3_Glut
chr9:8937175-8937674,Trpc6,0.127466514558347,142.879371999715,001_CLA_EPd_CTX_Car3_Glut
chr9:8937708-8938207,Trpc6,0.153856443135711,142.879371999715,001_CLA_EPd_CTX_Car3_Glut
chr9:95783851-95784350,Gk5,0.165793873734349,55.9883544222802,001_CLA_EPd_CTX_Car3_Glut
chr10:29823180-29823679,Rspo3,0.0773807556825481,49.4505078181652,002_IT_EP_CLA_Glut
chr11:110155930-110156429,Abca8a,0.0976598965732597,84.278553647088,002_IT_EP_CLA_Glut
chr11:51294362-51294861,Col23a1,0.181752470016803,399.857869669465,002_IT_EP_CLA_Glut
chr11:51337503-51338002,Col23a1,0.215025413478409,399.857869669465,002_IT_EP_CLA_Glut
chr11:51380994-51381493,Col23a1,0.133647791595393,399.857869669465,002_IT_EP_CLA_Glut
chr11:51391471-51391970,Col23a1,0.19085822489428,399.857869669465,002_IT_EP_CLA_Glut
chr11:51403379-51403878,Col23a1,0.131970383783682,399.857869669465,002_IT_EP_CLA_Glut
chr13:96940124-96940623,Enc1,0.181914873542855,50.6468910718305,002_IT_EP_CLA_Glut
chr14:111744112-111744611,Slitrk5,0.0644586008141538,44.5320433308746,002_IT_EP_CLA_Glut
chr14:111821963-111822462,Slitrk5,0.246904076633968,44.5320433308746,002_IT_EP_CLA_Glut
chr15:98792584-98793083,Kcnh3,0.0736227818031436,43.3356600772093,002_IT_EP_CLA_Glut
chr15:98813026-98813525,Kcnh3,0.148985960147486,43.3356600772093,002_IT_EP_CLA_Glut
chr17:6827635-6828134,Rps6ka2,0.131347236159616,187.167513462303,002_IT_EP_CLA_Glut
chr17:7120771-7121270,Rps6ka2,0.124252910445588,187.167513462303,002_IT_EP_CLA_Glut
chr17:7230966-7231465,Rps6ka2,0.0842366471271917,187.167513462303,002_IT_EP_CLA_Glut
chr17:7231536-7232035,Rps6ka2,0.0857602068316121,187.167513462303,002_IT_EP_CLA_Glut
chr17:7233090-7233589,Rps6ka2,0.143431940510186,187.167513462303,002_IT_EP_CLA_Glut
chr17:8478541-8479040,Gm1604a,0.118369848138351,130.804569067405,002_IT_EP_CLA_Glut
chr1:56957894-56958393,Satb2,0.0859856451847288,314.515864241341,002_IT_EP_CLA_Glut
chr1:9627223-9627722,Vxn,0.178197261237094,86.0066627912712,002_IT_EP_CLA_Glut
chr2:57090711-57091210,Nr4a2,0.0896189502593288,122.031091873859,002_IT_EP_CLA_Glut
chr2:57114752-57115251,Nr4a2,0.108289081478328,122.031091873859,002_IT_EP_CLA_Glut
chr2:57137928-57138427,Nr4a2,0.141407492787384,122.031091873859,002_IT_EP_CLA_Glut
chr2:61901478-61901977,Slc4a10,0.154050448095429,563.762375421609,002_IT_EP_CLA_Glut
chr2:61987010-61987509,Slc4a10,0.149945673552832,563.762375421609,002_IT_EP_CLA_Glut
chr4:42921624-42922123,Phf24,0.275374906238868,202.454632814692,002_IT_EP_CLA_Glut
chr4:42965203-42965702,Phf24,0.0950451184457635,202.454632814692,002_IT_EP_CLA_Glut
chr5:141115869-141116368,Sdk1,0.120351926629465,726.470497920088,002_IT_EP_CLA_Glut
chr6:63141636-63142135,Grid2,0.0654033473411144,2765.63928805625,002_IT_EP_CLA_Glut
chr7:36331355-36331854,Tshz3,0.166861553076396,108.339150193023,002_IT_EP_CLA_Glut
chr7:36707984-36708483,Tshz3,0.21781877228283,108.339150193023,002_IT_EP_CLA_Glut
chr7:36914146-36914645,Tshz3,0.119390054490848,108.339150193023,002_IT_EP_CLA_Glut
chr7:36915161-36915660,Tshz3,0.183890031319533,108.339150193023,002_IT_EP_CLA_Glut
chr7:45162038-45162537,Slc17a7,0.108631246501431,88.1335663533428,002_IT_EP_CLA_Glut
chr7:45166953-45167452,Slc17a7,0.105749843374578,88.1335663533428,002_IT_EP_CLA_Glut
chr7:45451282-45451781,Slc17a7,0.123813001668818,88.1335663533428,002_IT_EP_CLA_Glut
chr7:45451809-45452308,Slc17a7,0.142617394436075,88.1335663533428,002_IT_EP_CLA_Glut
chr7:90940982-90941481,Gm45159,0.171435402015705,118.973668003381,002_IT_EP_CLA_Glut
chr8:17598627-17599126,Csmd1,0.152510807255702,6308.52889657705,002_IT_EP_CLA_Glut
chr8:17664188-17664687,Csmd1,0.224754831946475,6308.52889657705,002_IT_EP_CLA_Glut
chr8:81069369-81069868,Inpp4b,0.171482305014188,512.052032568743,002_IT_EP_CLA_Glut
chr8:81360405-81360904,Inpp4b,0.0842182393910723,512.052032568743,002_IT_EP_CLA_Glut
chr8:81361087-81361586,Inpp4b,0.0915032970446445,512.052032568743,002_IT_EP_CLA_Glut
chr8:81388937-81389436,Inpp4b,0.279789640745064,512.052032568743,002_IT_EP_CLA_Glut
chr9:21806625-21807124,Dock6,0.127762798044473,78.8283632692794,002_IT_EP_CLA_Glut
chr9:24284790-24285289,Dpy19l1,0.0960064246584873,158.321383901706,002_IT_EP_CLA_Glut
chr9:35424580-35425079,Cdon,0.160767917623195,108.605013138282,002_IT_EP_CLA_Glut
chr9:35438243-35438742,Cdon,0.114740544745224,108.605013138282,002_IT_EP_CLA_Glut
chr9:35438976-35439475,Cdon,0.160305506050165,108.605013138282,002_IT_EP_CLA_Glut
chr9:35523525-35524024,Cdon,0.0907075711482942,108.605013138282,002_IT_EP_CLA_Glut
chr9:35524066-35524565,Cdon,0.0883184426093986,108.605013138282,002_IT_EP_CLA_Glut
chr9:4639142-4639641,Gria4,0.0743793898213198,1980.14721628868,002_IT_EP_CLA_Glut
chr9:56869417-56869916,Lingo1,0.125352151580539,152.472399106009,002_IT_EP_CLA_Glut
chr9:56889700-56890199,Lingo1,0.134573947721028,152.472399106009,002_IT_EP_CLA_Glut
chr9:63779831-63780330,Smad3,0.103401725487427,117.511421804457,002_IT_EP_CLA_Glut
chr9:63780380-63780879,Smad3,0.07886780097425,117.511421804457,002_IT_EP_CLA_Glut
chr9:63793662-63794161,Smad3,0.0840217898015481,117.511421804457,002_IT_EP_CLA_Glut
chr9:63794756-63795255,Smad3,0.0990236981708,117.511421804457,002_IT_EP_CLA_Glut
chr9:63795798-63796297,Smad3,0.115377149395732,117.511421804457,002_IT_EP_CLA_Glut
chr9:64221435-64221934,Smad3,0.0991384167028441,117.511421804457,002_IT_EP_CLA_Glut
chr9:7934988-7935487,Cfap300,0.0777375447817262,45.1967006940219,002_IT_EP_CLA_Glut
chr9:7957269-7957768,Cfap300,0.0877816998863169,45.1967006940219,002_IT_EP_CLA_Glut
chr9:8443226-8443725,Cfap300,0.0708986571295714,45.1967006940219,002_IT_EP_CLA_Glut
chr9:99164561-99165060,Pik3cb,0.259988698740661,58.7557109022285,002_IT_EP_CLA_Glut
chr10:29344215-29344714,Rspo3,0.330361558037659,62.8058364467988,003_L5_6_IT_TPE_ENT_Glut
chr10:29412092-29412591,Rspo3,0.141362617415585,62.8058364467988,003_L5_6_IT_TPE_ENT_Glut
chr10:29415341-29415840,Rspo3,0.0986107181728389,62.8058364467988,003_L5_6_IT_TPE_ENT_Glut
chr10:29433530-29434029,Rspo3,0.0996821232669971,62.8058364467988,003_L5_6_IT_TPE_ENT_Glut
chr10:29537918-29538417,Rspo3,0.134564251773719,62.8058364467988,003_L5_6_IT_TPE_ENT_Glut
chr10:29538538-29539037,Rspo3,0.128829019757374,62.8058364467988,003_L5_6_IT_TPE_ENT_Glut
chr10:29823180-29823679,Rspo3,0.123954446312797,62.8058364467988,003_L5_6_IT_TPE_ENT_Glut
chr10:29824350-29824849,Rspo3,0.221005423139303,62.8058364467988,003_L5_6_IT_TPE_ENT_Glut
